,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp (C),Wind Speed
0,Torbay,90,CA,1612258469,86,47.6666,-52.7314,-2.78,3.6
1,Alta Floresta,42,BR,1612258470,97,-9.8756,-56.0861,21.23,0.92
2,Katsuura,40,JP,1612258423,43,35.1333,140.3,11.0,8.75
3,Vao,100,NC,1612258473,85,-22.6667,167.4833,24.25,13.65
4,Comodoro Rivadavia,0,AR,1612258474,48,-45.8667,-67.5,19.0,2.06
5,Salalah,0,OM,1612258475,14,17.0151,54.0924,29.0,6.17
6,Kondinskoye,40,RU,1612258476,96,59.6481,67.41,-8.31,4.3
7,Bluff,100,NZ,1612258477,80,-46.6,168.3333,16.54,3.03
8,Hobart,75,AU,1612258219,59,-42.8794,147.3294,16.67,6.69
9,Kaitangata,77,NZ,1612258480,91,-46.2817,169.8464,14.19,0.44
10,Atbasar,100,KZ,1612258481,97,51.8,68.3333,-6.25,3.59
11,Tura,23,IN,1612258482,38,25.5198,90.2201,22.27,2.39
12,Akdepe,0,TM,1612258484,37,42.0551,59.3788,11.0,4.12
13,Cabo San Lucas,35,MX,1612258485,59,22.8909,-109.9124,16.11,0.89
14,Mahébourg,40,MU,1612258486,62,-20.4081,57.7,31.0,8.23
15,Albany,100,US,1612258443,86,42.6001,-73.9662,-3.89,0.45
16,Rikitea,98,PF,1612258488,75,-23.1203,-134.9692,25.65,5.77
17,Formosa,75,AR,1612258489,100,-26.1775,-58.1781,23.0,1.03
18,New Norfolk,91,AU,1612258490,55,-42.7826,147.0587,16.11,0.45
19,Przasnysz,75,PL,1612258494,86,53.0191,20.8803,0.0,4.12
20,Busselton,0,AU,1612258219,36,-33.65,115.3333,32.22,1.34
21,Emirdağ,0,TR,1612258496,62,39.0197,31.15,12.0,7.72
22,Lebu,4,CL,1612258497,91,-37.6167,-73.65,12.77,5.35
23,Hong Kong,1,HK,1612258476,72,22.2855,114.1577,22.22,1.34
24,Tuatapere,97,NZ,1612258499,86,-46.1333,167.6833,15.85,0.45
25,Punta Arenas,75,CL,1612258501,76,-53.15,-70.9167,11.0,9.26
26,Ruwi,0,OM,1612258502,61,23.5996,58.5507,25.0,5.14
27,Cape Town,0,ZA,1612258363,34,-33.9258,18.4232,28.0,1.54
28,Qaanaaq,100,GL,1612258504,79,77.484,-69.3632,-20.12,3.17
29,Kanniyākumāri,44,IN,1612258505,65,8.0833,77.5667,28.95,8.88
30,Puerto Ayora,49,EC,1612258439,85,-0.7393,-90.3518,24.9,3.06
31,Río Bueno,51,CL,1612258508,97,-40.3167,-72.9667,8.73,1.27
32,Chui,0,UY,1612258509,93,-33.6971,-53.4616,20.55,2.28
33,San Quintín,100,MX,1612258510,72,30.4833,-115.95,16.02,6.34
34,Vila Franca do Campo,40,PT,1612258511,63,37.7167,-25.4333,15.0,11.83
35,Barrow,1,US,1612258513,68,71.2906,-156.7887,-32.0,5.66
36,Jamestown,75,US,1612258514,86,42.097,-79.2353,-6.67,5.14
37,Longyearbyen,75,SJ,1612258515,79,78.2186,15.6401,-8.0,4.12
38,Hermanus,0,ZA,1612258516,35,-34.4187,19.2345,31.11,1.34
39,Port Elizabeth,0,ZA,1612258517,57,-33.918,25.5701,24.0,8.75
40,Dalby,25,AU,1612258518,52,-27.1833,151.2667,25.56,0.89
41,Sedkyrkeshch,75,RU,1612258520,80,61.75,50.9167,-5.0,3.0
42,Mataura,82,NZ,1612258442,75,-46.1927,168.8643,15.44,0.74
43,Sarangani,51,PH,1612258522,74,5.4033,125.4636,28.08,4.9
44,Khatanga,0,RU,1612258523,83,71.9667,102.5,-35.85,4.52
45,Port Alfred,32,ZA,1612258524,68,-33.5906,26.891,23.89,4.92
46,Vaini,75,TO,1612258526,89,-21.2,-175.2,27.0,9.77
47,Ponta do Sol,18,PT,1612258527,71,32.6667,-17.1,14.44,0.89
48,Tuktoyaktuk,100,CA,1612258528,86,69.4541,-133.0374,-32.53,3.6
49,Yellowknife,90,CA,1612258440,70,62.456,-114.3525,-22.78,7.2
50,Rio Brilhante,74,BR,1612258531,94,-21.8019,-54.5464,21.93,1.5
51,Ushuaia,40,AR,1612258383,87,-54.8,-68.3,9.0,10.8
52,Shubarkuduk,100,KZ,1612258533,98,49.1447,56.4872,-0.05,5.37
53,Thompson,90,CA,1612258534,92,55.7435,-97.8558,-11.0,2.06
54,Constitución,30,CL,1612258535,86,-35.3333,-72.4167,14.04,0.72
55,Pampas,98,PE,1612258537,80,-12.4,-74.9,9.17,1.02
56,Tessalit,2,ML,1612258538,19,20.1986,1.0114,24.34,7.52
57,Avarua,40,CK,1612258539,78,-21.2078,-159.775,27.0,3.6
58,Santa Fe,9,AR,1612258540,87,-31.6333,-60.7,20.56,1.34
59,Jatai,100,BR,1612258541,87,-17.8814,-51.7144,20.85,1.21
60,Saldanha,0,ZA,1612258542,28,-33.0117,17.9442,30.0,2.06
61,Xining,56,CN,1612258388,55,36.6167,101.7667,-0.85,1.11
62,Ocampo,88,MX,1612258545,68,21.65,-101.5,5.14,1.82
63,Upernavik,100,GL,1612258546,89,72.7868,-56.1549,-21.82,4.52
64,Omsukchan,100,RU,1612258548,81,62.5333,155.8,-34.55,1.77
65,Mandalī,0,IQ,1612258549,29,33.7499,45.5541,19.95,5.58
66,Barsovo,75,RU,1612258550,93,61.1667,73.1667,-8.0,6.0
67,Yatou,0,CN,1612258551,80,37.15,122.3833,-2.83,4.7
68,Butaritari,11,KI,1612258552,83,3.0707,172.7902,27.52,7.78
69,Tumut,1,AU,1612258554,38,-35.3,148.2167,23.0,3.6
70,Meulaboh,98,ID,1612258555,70,4.1363,96.1285,28.89,3.26
71,Saint George,90,US,1612258556,46,37.1041,-113.5841,11.0,1.54
72,Bandarbeyla,77,SO,1612258557,55,9.4942,50.8122,25.38,8.83
73,Shikarpur,0,PK,1612258558,38,27.9571,68.6379,24.0,1.03
74,Sioux Lookout,90,CA,1612258559,93,50.1001,-91.917,-8.0,0.78
75,Nouadhibou,0,MR,1612258561,82,20.931,-17.0347,17.0,5.14
76,Faya,0,SA,1612258562,20,18.3851,42.4509,23.0,4.12
77,Pacific Grove,1,US,1612258563,87,36.6177,-121.9166,12.78,3.68
